,Unnamed: 0,Price,Rooms,Area,Floor,Location,Num_Rooms,Num_Halls,District
2734,2734,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2735,2735,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
2736,2736,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
2737,2737,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2738,2738,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
2739,2739,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2740,2740,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
2741,2741,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
2742,2742,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2743,2743,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
2744,2744,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
2745,2745,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2746,2746,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
2747,2747,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
2748,2748,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2749,2749,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2750,2750,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2751,2751,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
2752,2752,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
2753,2753,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
2754,2754,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
2755,2755,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
2756,2756,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
2757,2757,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2758,2758,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2759,2759,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
2760,2760,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
2761,2761,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2762,2762,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
2763,2763,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2764,2764,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
2765,2765,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
2766,2766,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2767,2767,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
2768,2768,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
2769,2769,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2770,2770,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
2771,2771,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
2772,2772,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2773,2773,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2774,2774,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2775,2775,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
2776,2776,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
2777,2777,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
2778,2778,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
2779,2779,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
2780,2780,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
2781,2781,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2782,2782,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2783,2783,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
2784,2784,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
2785,2785,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2786,2786,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
2787,2787,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2788,2788,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
2789,2789,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
2790,2790,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2791,2791,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
2792,2792,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
2793,2793,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2794,2794,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
2795,2795,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
2796,2796,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2797,2797,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2798,2798,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2799,2799,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
2800,2800,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
2801,2801,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
2802,2802,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
2803,2803,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
2804,2804,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
2805,2805,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2806,2806,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2807,2807,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
2808,2808,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
2809,2809,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2810,2810,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
2811,2811,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2812,2812,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
2813,2813,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
2814,2814,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
2815,2815,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
2816,2816,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
2817,2817,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2818,2818,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
2819,2819,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
2820,2820,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
2821,2821,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
2822,2822,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2823,2823,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
2824,2824,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
2825,2825,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
2826,2826,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
2827,2827,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
2828,2828,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
2829,2829,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
2830,2830,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
